	Status	Year	Location	Sample
0	Weak	year 2013	West-Flanders	BP1
1	Weak	year 2013	Antwerp	BP2
2	Healthy	year 2013	East-Flanders	BP3
3	Healthy	year 2013	East-Flanders	BP4
4	Healthy	year 2013	Antwerp	BP5
5	Weak	year 2013	Mixed	BP6
6	Healthy	year 2013	Antwerp	BP7
7	Healthy	year 2013	Antwerp	BP8
8	Healthy	year 2013	Limburg	BP9
9	Weak	year 2013	Antwerp	BP10
10	Healthy	year 2013	West-Flanders	BP11
11	Healthy	year 2013	West-Flanders	BP12
12	Weak	year 2013	Antwerp	BP13
13	Healthy	year 2013	Limburg	BP14
14	Weak	year 2013	Antwerp	BP15
15	Weak	year 2013	West-Flanders	BP16
16	Weak	year 2013	West-Flanders	BP17
17	Weak	year 2013	Antwerp	BP18
18	Healthy	year 2013	Antwerp	BP19
19	Weak	year 2013	Limburg	BP20
20	Healthy	year 2013	Limburg	BP21
21	Weak	year 2013	East-Flanders	BP22
22	Healthy	year 2013	East-Flanders	BP23
23	Healthy	year 2013	West-Flanders	BP24
24	Weak	year 2013	Flemish-brabant	BP25
25	Weak	year 2013	Flemish-brabant	BP26
26	Healthy	year 2013	Flemish-brabant	BP27
27	Weak	year 2013	Flemish-brabant	BP28
28	Weak	year 2013	Limburg	BP29
29	Weak	year 2013	East-Flanders	BP30
30	Healthy	year 2013	Flemish-brabant	BP31
31	Weak	year 2013	West-Flanders	BP32
32	Healthy	year 2013	Antwerp	BP33
33	Healthy	year 2013	Antwerp	BP34
34	Healthy	year 2013	Antwerp	BP35
35	Healthy	year 2013	West-Flanders	BP36
36	Healthy	year 2012	Mixed	BP37
37	Weak	year 2013	Flemish-brabant	BP38
38	Weak	year 2013	Antwerp	BP39
39	Healthy	year 2012	Mixed	BP40
40	Weak	year 2012	Mixed	BP41
41	Weak	year 2012	Mixed	BP42
42	Weak	year 2012	Mixed	BP43
43	Healthy	year 2013	Flemish-brabant	BP44
44	Weak	year 2012	Mixed	BP45
45	Healthy	year 2012	Mixed	BP46
46	Healthy	year 2012	Mixed	BP47
47	Healthy	year 2012	Flemish-brabant	BP48
48	Healthy	year 2013	Limburg	BP49
49	Weak	year 2013	East-Flanders	BP50
50	Healthy	year 2012	Mixed	BeeP-01-2013
51	Healthy	year 2012	Limburg	BeeP-02-2013
52	Weak	year 2012	Limburg	BeeP-03-2013
53	Weak	year 2012	Mixed	BeeP-04-2013
54	Weak	year 2012	Mixed	BeeP-05-2013
55	Healthy	year 2012	Flemish-brabant	BeeP-06-2013
56	Healthy	year 2012	Flemish-brabant	BeeP-07-2013
57	Weak	year 2012	Mixed	BeeP-08-2013
58	Healthy	year 2012	Mixed	BeeP-09-2013
59	Weak	year 2013	Antwerp	BeeP-10-2013
60	Weak	year 2012	Antwerp	BeeP-11-2013
61	Healthy	year 2012	Limburg	BeeP-12-2013
62	Healthy	year 2013	Mixed	BeeP-13-2013
63	Healthy	year 2013	East-Flanders	BeeP-14-2013
64	Healthy	year 2013	West-Flanders	BeeP-15-2013
65	Weak	year 2012	Limburg	BeeP-16-2013
66	Weak	year 2012	East-Flanders	BeeP-17-2013
67	Weak	year 2013	Mixed	BeeP-18-2013
68	Healthy	year 2012	Flemish-brabant	BeeP-19-2013
69	Healthy	year 2012	Flemish-brabant	BeeP-20-2013
70	Weak	year 2013	East-Flanders	BeeP-21-2013
71	Healthy	year 2012	Mixed	BeeP-22-2013
72	Weak	year 2012	East-Flanders	BeeP-23-2013
73	Weak	year 2013	Limburg	BeeP-24-2013
74	Weak	year 2012	East-Flanders	BeeP-25-2013
75	Weak	year 2012	Limburg	BeeP-26-2013
76	Healthy	year 2012	East-Flanders	BeeP-27-2013
77	Healthy	year 2012	Limburg	BeeP-28-2013
78	Healthy	year 2012	Limburg	BeeP-29-2013
79	Weak	year 2013	Mixed	BeeP-30-2013
80	Weak	year 2012	West-Flanders	BeeP-31-2013
81	Weak	year 2012	East-Flanders	BeeP-32-2013
82	Weak	year 2012	Mixed	BeeP-33-2013
83	Healthy	year 2013	Mixed	BeeP-34-2013
84	Healthy	year 2012	Flemish-brabant	BeeP-35-2013
85	Weak	year 2012	Antwerp	BeeP-36-2013
86	Healthy	year 2013	Flemish-brabant	BeeP-37-2013
87	Healthy	year 2012	Mixed	BeeP-38-2013
88	Weak	year 2012	Mixed	BeeP-39-2013
89	Healthy	year 2012	Mixed	BeeP-40-2013
90	Weak	year 2012	West-Flanders	BeeP-41-2013
91	Weak	year 2012	Limburg	BeeP-42-2013
92	Weak	year 2012	Mixed	BeeP-43-2013
93	Healthy	year 2012	Antwerp	BeeP-44-2013
94	Healthy	year 2012	Mixed	BeeP-45-2013
95	Weak	year 2012	Limburg	BeeP-46-2013
96	Weak	year 2012	Mixed	BeeP-47-2013
97	Healthy	year 2012	Mixed	BeeP-48-2013
98	Weak	year 2013	Antwerp	BeeP-49-2013
99	Weak	year 2012	Mixed	BeeP-50-2013
100	Healthy	year 2012	Antwerp	BeeP-Q1-2013
101	Healthy	year 2012	Mixed	BeeP-Q2-2013
